연번,분야,행사유형,분야 및 행사유형,지역,제목,출처,행사시작일,행사종료일,등록일
1700,인력,교육,인력 > 교육,울산광역시,[울산] 기초 FTA 활용 및 사후검증 실무 교육 안내,한국무역협회 울산지역본부,2020-09-03,2020-09-03,2020-08-10
1701,창업,세미나/포럼,창업 > 세미나/포럼,서울특별시,스타트업 수요 에어(AI+IR) 시리즈 개최 안내,한국무역협회,2020-08-19,2020-08-19,2020-08-10
1702,인력,교육,인력 > 교육,인천광역시,[인천] 2020년 VRㆍAR 전문인력 양성교육 전문교육(재직자)과정 교육 실시,인천테크노파크,2020-08-24,2020-10-21,2020-08-10
1703,경영,사업설명회,경영 > 사업설명회,경기도,[경기] 2020년 의료원 대상 국산 의료기기 설명회 개최 안내,의료기기산업 종합정보시스템,2020-10-01,2020-10-31,2020-08-10
1704,인력,교육,인력 > 교육,전라북도,[전북] 2020년 문화콘텐츠아카데미 콘텐츠 편집 기초 양성과정 5차 교육 안내,전라북도문화콘텐츠산업진흥원,2020-09-01,2020-09-24,2020-08-10
1705,인력,교육,인력 > 교육,인천광역시,[인천] 인천디자인교육센터 9월 재직자ㆍ대표자 무료 디자인교육 안내,인천디자인교육센터,2020-08-31,2020-09-24,2020-08-10
1706,기술,사업설명회,기술 > 사업설명회,서울특별시,2020년 한국조폐공사 기술상담회 행사 안내,한국조폐공사,2020-09-01,2020-09-30,2020-08-10
1707,경영,교육,경영 > 교육,경상남도,[경남] 김해시 2020년 공공기관 전자입찰교육 및 다수공급자계약(MAS) 교육 안내,김해산업진흥의생명융합재단,2020-09-08,2020-10-06,2020-08-10
1708,경영,사업설명회,경영 > 사업설명회,충청남도,3차 스마트팜 표준확산 지원사업 사업관련 설명회 개최,한국농기계공업협동조합,2020-08-13,2020-08-13,2020-08-10
1709,수출,교육,수출 > 교육,전라남도,[전남] 2020년 제2차 전남무역아카데미 개최 안내,목포시,2020-08-31,2020-09-18,2020-08-10
1710,인력,교육,인력 > 교육,서울특별시,영문 IR Pitching 이해 및 실습,한국무역협회 무역아카데미,2020-09-23,2020-09-23,2020-08-07
1711,경영,교육,경영 > 교육,부산광역시,[부산] 2020년 마을기업 설립 전 교육프로그램 안내,사회적기업연구원,2020-09-03,2020-09-10,2020-08-07
1712,인력,교육,인력 > 교육,서울특별시,"[서울] 2020 사내벤처, 회사 밖도 괜찮아 - 미니 IR 육성프로그램 안내",서울창조경제혁신센터,2020-08-27,2020-08-27,2020-08-07
1713,경영,사업설명회,경영 > 사업설명회,부산광역시,[부산] 2020년 제5회 부산광역시 사회적경제 설명회 개최 안내,부산광역시 사회적경제지원센터,2020-08-24,2020-08-25,2020-08-07
1714,경영,세미나/포럼,경영 > 세미나/포럼,경상남도,[경남] 콘텐츠기업지원센터 제1회 멘토링 데이 개최 안내,경남문화예술진흥원,2020-08-14,2020-08-14,2020-08-07
